id,count,site,locality,date,vaccine_type,posted,website
1381162952829644800,,Cvs - North Andover,North Andover,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162952829644800,,Cvs - North Easton,North Easton,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162952829644800,,Cvs - North Grafton,North Grafton,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162952829644800,,Cvs - Palmer,Palmer,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162952829644800,,Cvs - Randolph,Randolph,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162952829644800,,Cvs - Raynham,Raynham,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162952829644800,,Cvs - Seekonk,Seekonk,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162952829644800,,Cvs - Shrewsbury,Shrewsbury,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162952829644800,,Cvs - Somerset,Somerset,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162952829644800,,Cvs - Springfield,Springfield,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - Agawam,Agawam,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - Attleboro,Attleboro,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - Beverly,Beverly,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - Brockton,Brockton,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - Cambridge,Cambridge,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - Chelsea,Chelsea,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - Dedham,Dedham,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - East Boston,East Boston,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - Fall River,Fall River,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - Gardner,Gardner,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - Harwichport,Harwichport,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - Haverhill,Haverhill,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - Holbrook,Holbrook,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - Holyoke,Holyoke,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - Hopkinton,Hopkinton,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - Hyannis,Hyannis,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - Hyde Park,Hyde Park,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - Ipswich,Ipswich,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381162951927865347,,Cvs - Lakeville,Lakeville,2021-04-11 08:31:23,,2021-04-11 08:31:23,https://t.co/cvau09jxzh
1381159081772265472,,Cvs - West Bridgewater,West Bridgewater,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159081772265472,,Cvs - Worcester,Worcester,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159080891453447,,Cvs - Malden,Malden,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159080891453447,,Cvs - Maynard,Maynard,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159080891453447,,Cvs - Medford,Medford,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159080891453447,,Cvs - Methuen,Methuen,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159080891453447,,Cvs - Milford,Milford,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159080891453447,,Cvs - New Bedford,New Bedford,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159080891453447,,Cvs - North Andover,North Andover,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159080891453447,,Cvs - North Easton,North Easton,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159080891453447,,Cvs - North Grafton,North Grafton,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159080891453447,,Cvs - Palmer,Palmer,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
